               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.050914,            0.022541,          0.00027084,             0.85552,            0.097826,             0.10243,            0.029542,            0.033537,            0.010487,            0.043018,             0.00307,             0.00307,             0.00307
                  37,            0.051886,            0.023042,          0.00025158,             0.85269,             0.11957,             0.10041,             0.02764,            0.031902,            0.010477,            0.042684,            0.002872,            0.002872,            0.002872
                  38,            0.050273,             0.02215,           0.0002265,             0.85308,            0.097826,            0.094939,            0.026397,            0.031006,            0.010603,            0.042493,            0.002674,            0.002674,            0.002674
                  39,             0.05345,            0.025367,          0.00023212,              0.8294,             0.12146,            0.093994,            0.031828,             0.03077,            0.010644,            0.043195,            0.002476,            0.002476,            0.002476
                  40,            0.052099,            0.024712,          0.00022219,             0.84762,             0.11841,             0.12173,            0.046007,            0.030328,            0.010416,            0.043446,            0.002278,            0.002278,            0.002278
                  41,            0.048681,            0.022288,          0.00021441,             0.84529,              0.1087,             0.11977,            0.043288,            0.030679,             0.01047,            0.044149,             0.00208,             0.00208,             0.00208
                  42,            0.052343,            0.022666,          0.00021656,             0.83031,             0.11957,            0.082261,            0.028955,            0.030274,             0.01095,            0.044193,            0.001882,            0.001882,            0.001882
                  43,            0.049557,            0.022787,          0.00020093,            0.083691,              0.1313,            0.080245,            0.027625,            0.030517,            0.011307,            0.044724,            0.001684,            0.001684,            0.001684
                  44,            0.048571,            0.021886,          0.00019623,            0.076078,             0.14267,            0.070336,            0.022627,            0.030421,            0.011132,            0.044602,            0.001486,            0.001486,            0.001486
                  45,            0.050851,            0.022363,          0.00018801,             0.82578,             0.11957,            0.065421,            0.022919,            0.029468,            0.011035,            0.044844,            0.001288,            0.001288,            0.001288
                  46,            0.049817,            0.022261,          0.00017843,             0.83405,              0.1413,            0.087095,            0.029255,            0.030595,            0.010793,            0.045781,             0.00109,             0.00109,             0.00109
                  47,             0.05149,             0.02124,          0.00018035,             0.60138,              0.1413,             0.10336,            0.033419,            0.030774,             0.01062,            0.046574,            0.000892,            0.000892,            0.000892
                  48,            0.049138,             0.02271,          0.00016901,             0.85437,             0.13043,             0.12006,            0.035667,            0.030459,            0.010636,            0.046898,            0.000694,            0.000694,            0.000694
                  49,            0.047519,            0.022302,          0.00017114,             0.87987,             0.12931,             0.12273,            0.037827,            0.030198,            0.010666,            0.046719,            0.000496,            0.000496,            0.000496
